"","orig.ident","nCount_WF","nFeature_WF","cType","area.cType$X3"
"1","SeuratProject",0.371599392127473,36,"PV","HIP_PV"
"2","SeuratProject",0.524244141509826,35,"PV","HIP_PV"
"3","SeuratProject",0.422963018570671,38,"PV","HIP_PV"
"4","SeuratProject",0.285596441189075,36,"PV","HIP_PV"
"5","SeuratProject",0.395509866571571,36,"PV","HIP_PV"
"6","SeuratProject",0.522159690865898,37,"PV","HIP_PV"
"7","SeuratProject",0.425146143840466,36,"PV","HIP_PV"
"8","SeuratProject",0.222352175256872,35,"PV","HIP_PV"
"9","SeuratProject",0.22724765931532,33,"PV","HIP_PV"
"10","SeuratProject",0.255185851394554,35,"PV","HIP_PV"
"11","SeuratProject",0.366380075975552,36,"PV","HIP_PV"
"12","SeuratProject",0.389894516078144,39,"PV","HIP_PV"
"13","SeuratProject",0.268991240321106,39,"PV","HIP_PV"
"14","SeuratProject",0.338413613264939,35,"PV","HIP_PV"
"15","SeuratProject",0.415357660362353,39,"PV","HIP_PV"
"16","SeuratProject",0.312934601118388,34,"PV","HIP_PV"
"17","SeuratProject",0.955174288407145,37,"PV","HIP_PV"
"18","SeuratProject",0.489424336934743,36,"PV","HIP_PV"
"19","SeuratProject",0.494122345182124,38,"PV","HIP_PV"
"20","SeuratProject",0.364329251951005,34,"PV","HIP_PV"
"21","SeuratProject",0.482661897145077,38,"PV","HIP_PV"
"22","SeuratProject",0.296102726881371,35,"PV","HIP_PV"
"23","SeuratProject",0.090350929723843,34,"PV","HIP_PV"
"24","SeuratProject",0.433341850448605,36,"PV","HIP_PV"
"25","SeuratProject",0.196615802131793,34,"PV","HIP_PV"
"26","SeuratProject",0.302748235551003,36,"PV","HIP_PV"
"27","SeuratProject",0.408157631068451,37,"PV","VIS_PV"
"28","SeuratProject",0.408157631068451,37,"PV","VIS_PV"
"29","SeuratProject",-0.336748556713623,34,"PV","VIS_PV"
"30","SeuratProject",0.331564515628572,34,"PV","VIS_PV"
"31","SeuratProject",0.366868202301204,36,"PV","VIS_PV"
"32","SeuratProject",0.339640271598807,39,"PV","VIS_PV"
"33","SeuratProject",0.242765178109066,37,"PV","VIS_PV"
"34","SeuratProject",0.49123140632592,37,"PV","VIS_PV"
"35","SeuratProject",0.213823275661041,37,"PV","VIS_PV"
"36","SeuratProject",0.196440826338792,33,"VGAT","VIS_VGAT"
"37","SeuratProject",0.464955799488855,35,"VGAT","VIS_VGAT"
"38","SeuratProject",-0.285057013779324,31,"VGAT","VIS_VGAT"
"39","SeuratProject",0.312789205630001,35,"VGAT","VIS_VGAT"
"40","SeuratProject",0.497038979243874,36,"VGAT","VIS_VGAT"
"41","SeuratProject",0.265191580427716,34,"VGAT","VIS_VGAT"
"42","SeuratProject",0.474131502178745,36,"VGAT","VIS_VGAT"
"43","SeuratProject",-0.05398000890872,36,"VGAT","VIS_VGAT"
"44","SeuratProject",0.548952427434751,34,"VGAT","VIS_VGAT"
"45","SeuratProject",0.390020426440667,37,"VGAT","VIS_VGAT"
"46","SeuratProject",0.221860542516945,37,"VGAT","VIS_VGAT"
"47","SeuratProject",0.371949680135893,34,"VGAT","VIS_VGAT"
"48","SeuratProject",-0.413457385800652,31,"VGAT","VIS_VGAT"
"49","SeuratProject",0.305729554138649,39,"PV","VIS_PV"
"50","SeuratProject",0.368432009952035,37,"PV","VIS_PV"
"51","SeuratProject",0.341935822895494,36,"PV","VIS_PV"
"52","SeuratProject",0.132962374600479,36,"PV","VIS_PV"
"53","SeuratProject",0.248144214398048,37,"PV","VIS_PV"
"54","SeuratProject",0.0947286224264984,34,"PV","VIS_PV"
"55","SeuratProject",0.367801895983413,36,"PV","VIS_PV"
"56","SeuratProject",-0.291332278137931,36,"PV","VIS_PV"
"57","SeuratProject",0.0638325002324061,35,"PV","VIS_PV"
"58","SeuratProject",0.601140176995001,35,"PV","VIS_PV"
"59","SeuratProject",-0.263616811570783,35,"PV","VIS_PV"
"60","SeuratProject",-1.70282492270427,28,"PV","VIS_PV"
"61","SeuratProject",-1.97677781990637,25,"PV","VIS_PV"
"62","SeuratProject",0.501097545464394,35,"PV","VIS_PV"
"63","SeuratProject",0.595341428505551,34,"PV","VIS_PV"
"64","SeuratProject",-0.341558321851765,36,"PV","VIS_PV"
"65","SeuratProject",0.327086259537672,37,"PV","VIS_PV"
"66","SeuratProject",0.485114017555505,35,"PV","VIS_PV"
"67","SeuratProject",0.153639737327527,36,"PV","VIS_PV"
"68","SeuratProject",0.15849991467418,34,"PV","VIS_PV"
"69","SeuratProject",-0.376380821053773,33,"PV","VIS_PV"
"70","SeuratProject",0.453308837869052,36,"PV","VIS_PV"
"71","SeuratProject",0.36768430876795,35,"PV","VIS_PV"
"72","SeuratProject",0.041939048899468,36,"PV","VIS_PV"
"73","SeuratProject",0.453648212509845,36,"PV","VIS_PV"
"74","SeuratProject",0.41322819791161,36,"PV","VIS_PV"
