0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,label,label_name
-0.4936402,1.4630964,-1.0725079,0.5246411,1.0798342,-0.08656848,-1.2406557,-0.9051546,1.1994234,-0.46846792,-1.0361602,-0.06155829,0.42019892,1.1931417,-1.5134587,-1.3761482,0.7592396,1.2136703,0.26463395,0.13644063,0,PV
-0.48624235,1.4746867,-1.05412,0.50638163,1.085822,-0.10064024,-1.238767,-0.9032063,1.2022656,-0.48617956,1.0063777,2.1604064,-0.7102466,0.745882,-0.62037486,-0.3780903,-0.35008162,-0.12940718,-0.63305223,-1.0914129,0,PV
-0.53980625,1.2733696,-1.2329931,0.7615074,1.0751132,0.11879785,-1.2177634,-0.9555486,1.1214511,-0.4041278,1.1983393,2.1713574,-0.900352,0.29154962,-0.1920291,0.03830976,-0.4882886,-0.4089396,-0.70070493,-1.0092406,0,PV
-0.55187124,1.4290202,-1.1665242,0.68590134,1.0432823,0.0028064034,-1.21321,-0.9402005,1.1054591,-0.39466286,1.1538744,2.1831503,-0.7780914,0.43130907,-0.3236331,-0.09268246,-0.46458966,-0.32381126,-0.68917435,-1.0963523,0,PV
-0.54138863,1.4285429,-1.1785246,0.6577751,1.0446578,-0.0020642213,-1.2041484,-0.9294665,1.1293955,-0.40477875,-1.0004463,-0.7370615,0.5159751,1.1033242,-1.4085398,-1.2965047,0.82063687,1.1052709,0.51832134,0.3790239,0,PV
-0.45044807,1.6401856,-0.961437,0.334168,1.2855136,-0.12718612,-1.2033882,-0.8884829,0.92572033,-0.554647,0.2993962,2.1508987,-0.5630992,1.0248026,-1.1106737,-0.82654804,-0.050920755,0.3366475,-0.4186411,-0.8418626,0,PV
-0.5547319,1.5318211,-1.1235411,0.62534225,1.0153785,-0.05088152,-1.2154517,-0.9277008,1.0833781,-0.3836115,1.0732552,2.194706,-0.75028527,0.578314,-0.47901678,-0.24264896,-0.39230675,-0.21951658,-0.6686687,-1.0938318,0,PV
-0.5202749,1.5813451,-1.103539,0.5311799,1.0016074,-0.090349644,-1.207188,-0.90205765,1.1275493,-0.4182728,-1.0360197,0.21752858,0.29468584,1.4078517,-1.4733604,-1.3024529,0.53195465,1.2846234,0.097695045,-0.022506896,0,PV
0.15508738,1.6451992,-0.6736279,0.38059354,1.2520453,0.0017053835,-1.6066867,-0.9723976,0.43794277,-0.6198619,0.9938865,2.1479166,-0.7013064,0.777202,-0.6491374,-0.4044918,-0.33945203,-0.10140821,-0.6297171,-1.0934907,0,PV
-0.49341676,1.639943,-1.0415511,0.4441053,0.9975867,-0.14456466,-1.2143286,-0.8869228,1.1443576,-0.44520873,0.52130866,2.1908293,-0.5591686,0.97170055,-0.9583651,-0.71259516,-0.17294122,0.18969904,-0.5134851,-0.9569826,0,PV
