,embeddings
121,"[-0.20713086 -0.22826596  1.1638962  -0.9730644  -1.397993   -0.2616552
 -0.02305933  1.5746462  -0.8332459   1.1858727 ]"
122,"[-0.52980405 -0.55585045  0.36317757  2.4998038  -0.53460395 -0.5213647
 -0.5860822   0.81612986 -0.5451708  -0.40623516]"
123,"[-0.1227271  -0.22439693  0.87416136 -1.0095892  -1.3033916   0.07640088
  0.17438957  0.96935666 -1.1861762   1.7519734 ]"
124,"[-0.24817507 -0.23497777  1.1337482  -0.89149964 -1.3158108  -0.37415102
  0.01117718  1.2452097  -0.91845864  1.5929385 ]"
125,"[-0.1739519  -0.2278815   0.9708613  -1.0068929  -1.1605238  -0.56081235
  0.25208113  1.2961352  -0.9925671   1.6035519 ]"
126,"[-0.24821296 -0.23149274  1.2384354  -0.85938    -1.3523533  -0.1296874
 -0.02759461  1.4553674  -1.0705855   1.2255031 ]"
127,"[-0.3500048   0.20785074 -0.8964849  -0.25089115  2.5690866  -0.13451126
 -0.05598046 -0.8463824   0.42657337 -0.66925555]"
128,"[-0.5294663  -0.45132077  1.1867306  -0.69599086 -0.704536   -0.9652291
 -0.2659498   2.2270608   0.36854693 -0.16984512]"
129,"[-0.68415976 -0.13707557  1.1157202  -0.00322518 -1.7028824   0.87635636
 -1.2618787   1.1274856   0.8411405  -0.1714809 ]"
130,"[-0.3513504   0.27848095 -0.9826726  -0.27110922  2.222583   -0.24899466
 -0.1428278  -0.94925636  1.1546187  -0.7094718 ]"
131,"[-0.28599143 -0.21175456  1.2244306  -0.9222944  -1.1201553  -0.80719113
  0.06289664  1.7149333  -0.72540647  1.0705327 ]"
132,"[-0.2408352  -0.22027697  1.1154025  -0.9210642  -1.2585633  -0.15309079
  0.09231979  1.1196065  -1.1492692   1.6157706 ]"
133,"[-0.25280926 -0.21571359  1.1087627  -0.9328472  -1.0864012  -0.9320504
  0.15803114  1.484667   -0.73550373  1.4038646 ]"
134,"[-0.27268004 -0.20991437  1.147653   -0.9199588  -1.1146619  -0.68794984
  0.12596944  1.4231613  -0.9357509   1.4441323 ]"
135,"[-0.25325695 -0.23121352  1.1238998  -0.8379762  -1.3744719   0.12017924
 -0.0088774   1.2268761  -1.201775    1.4366153 ]"
136,"[ 0.22559446 -0.07520548 -0.98712474 -0.84801537 -0.3141742   1.3541795
  0.38400823 -1.1000522  -0.55125964  1.9120499 ]"
137,"[-0.2571136  -0.23418008  1.1957632  -0.8800311  -1.5314349   0.10204742
 -0.13471155  1.3269824  -0.9015552   1.3142337 ]"
138,"[-0.31619164  0.31239304 -1.0165273  -0.34374455  2.0516334  -0.29400948
 -0.1508774  -0.9981389   1.3903757  -0.63491285]"
139,"[-0.14216937 -0.22922035  0.85416734 -0.9267918  -1.3334413   0.34954187
  0.12724221  0.75269526 -1.2598921   1.8078682 ]"
140,"[-0.21588983 -0.21671288  1.1465614  -0.9881912  -1.210481   -0.77184266
  0.05998312  1.750865   -0.60956454  1.0552732 ]"
141,"[-0.14839914 -0.23087381  0.8826696  -0.85851234 -1.36182     0.4914445
  0.06941779  0.68890345 -1.3032823   1.7704526 ]"
142,"[-0.6258815  -0.36923882  1.1007127  -0.8358849  -0.93966645 -1.0352479
 -0.02363462  2.0833077   0.15267313  0.49286053]"
143,"[-0.12872377 -0.23438914  1.0288059  -1.0022416  -1.3150774  -0.04140725
  0.14971644  1.2241307  -1.1750543   1.4942406 ]"
144,"[-0.30070496 -0.2129985   1.1690111  -0.9134501  -1.0841664  -0.9060645
  0.09465887  1.6468328  -0.69981104  1.2066925 ]"
145,"[-0.20306355 -0.22971484  1.2214259  -0.90419215 -1.2738966  -0.20944495
  0.06805057  1.3356218  -1.1518536   1.3470665 ]"
146,"[-0.18832071 -0.22312798  1.1310264  -0.97202283 -1.2518635  -0.25879002
  0.12339154  1.2739211  -1.1116277   1.477413  ]"
147,"[-0.24471195 -0.2147405   1.2803546  -0.88739824 -1.2238668  -0.52089363
  0.03128341  1.5128253  -0.9556311   1.222779  ]"
148,"[-0.24275815 -0.22275546  1.2143806  -0.9359314  -1.1757082  -0.4869286
  0.10709445  1.5058558  -1.0249257   1.2616767 ]"
149,"[-0.15197486 -0.22741875  1.1133572  -0.9036425  -1.4043798   0.21615848
  0.02059541  1.1460043  -1.2306218   1.421922  ]"
150,"[-0.44867465 -0.2607883   1.138328   -0.90014595 -1.0560939  -0.9792834
  0.04463429  1.7100616  -0.4429419   1.1949042 ]"
151,"[-0.30646542  0.24460399 -1.0138065  -0.4036186   2.3683841  -0.21947153
 -0.13896433 -0.9879097   0.8988143  -0.44156653]"
152,"[-0.3152465  -0.14335173  0.28861883 -0.7241726  -0.82124996 -0.7814228
 -0.39605245  1.3546234   2.14976    -0.6115063 ]"
153,"[-0.17315388 -0.2163823   1.0706182  -1.0394484  -1.2088168  -0.57704186
  0.17819677  1.4118221  -0.88988787  1.4440947 ]"
154,"[-0.17278023 -0.22313464  0.95631593 -1.0331221  -1.1864597  -0.40737376
  0.22334339  1.2513196  -1.040839    1.6327302 ]"
155,"[-0.31780574 -0.20444037  1.3885839  -0.83981806 -1.1549497  -0.8742054
 -0.0654333   1.7080694  -0.5746582   0.93465763]"
156,"[-0.25200605 -0.21329823  1.1031944  -0.9526713  -1.1111676  -0.7003814
  0.15529817  1.5064436  -0.91656125  1.3811495 ]"
157,"[-0.21349448 -0.23106062  1.1289129  -0.95573944 -1.1996517  -0.39918226
  0.15346523  1.30578    -1.0793447   1.4903152 ]"
158,"[ 0.01139132 -0.21632735  0.537271   -0.83970225 -1.3534025   0.9684566
  0.12223329  0.23076715 -1.3076965   1.847009  ]"
159,"[-0.40091902 -0.21212707  1.290706   -0.7773905  -1.1195621  -0.78005064
 -0.03572045  1.6613793  -0.76993173  1.1436162 ]"
160,"[-0.14977181 -0.23542565  1.070481   -0.96793497 -1.2925284  -0.11089905
  0.14389928  1.1893269  -1.1761509   1.5290031 ]"
161,"[-0.10736774  0.279433   -0.6785234  -0.41777444  0.12154196 -0.47052923
 -0.02072317 -0.7424474   2.6635203  -0.6271301 ]"
162,"[-0.18008293 -0.23696351  0.97162336 -0.9914651  -1.2560575  -0.18060248
  0.18827762  1.1981494  -1.1320137   1.6191357 ]"
163,"[-0.5918053  -0.05524085  0.30170193  0.5500905  -1.3379618   1.2473532
 -1.4043407  -0.1691613   1.6892135  -0.22984754]"
