,embeddings
55,"[ 1.2496608   1.7343714  -0.92832714 -0.7209645   0.7828224   0.62942255
 -0.36451516 -0.8851408  -0.7140612  -0.7832681 ]"
56,"[-0.9752349  -0.98197055  1.4700892   1.2192562  -0.9420937  -0.90395796
 -0.13289452  1.3081859  -0.00493874 -0.05644113]"
57,"[ 1.1685666   1.7783464  -0.9005634  -0.7229494   0.79757285  0.67372876
 -0.4570813  -0.8872804  -0.7129627  -0.73737824]"
58,"[-1.0022908  -1.056446    1.4200063   1.3606939  -0.9047586  -0.79474956
 -0.15978557  1.2372117  -0.04943661 -0.05044472]"
59,"[ 1.2941058  1.6718001 -0.9165967 -0.7573838  0.7436455  0.6980438
 -0.3215146 -0.9523068 -0.7466677 -0.713126 ]"
60,"[ 1.2627532   1.737736   -0.88620174 -0.7068372   0.7866704   0.6204091
 -0.4178699  -0.86926013 -0.75154674 -0.7758526 ]"
61,"[-0.65801376 -1.3508825   1.3097136   1.6048586  -0.58268356 -0.613647
 -0.23527499  1.1795739  -0.13348773 -0.52015644]"
62,"[ 1.0760024   1.8106124  -0.9166728  -0.7898161   0.7979496   0.7418906
 -0.56734663 -0.8697905  -0.71702707 -0.56580245]"
63,"[ 1.2294133   1.8116755  -0.9246258  -0.7873496   0.7492647   0.55251914
 -0.3868296  -0.90390325 -0.6615311  -0.67863464]"
64,"[-1.0084761  -0.9321555   1.4296229   1.1853093  -0.98838043 -0.9476168
 -0.1117149   1.3330718   0.01600174  0.02433777]"
65,"[-0.98655266 -1.1185807   1.2969803   1.5845543  -0.8243776  -0.66714066
 -0.19317213  1.1761204  -0.10740978 -0.16042125]"
66,"[-1.0082282  -0.8767591   1.4058744   1.1058885  -1.02626    -1.0261614
 -0.08113154  1.3761357   0.05494348  0.07569832]"
67,"[ 0.8256576   1.9775063  -0.92560846 -0.7713772   0.77280974  0.70639235
 -0.7356431  -0.85939485 -0.70687824 -0.28346434]"
68,"[ 1.2552454   1.7238647  -0.91772944 -0.6827609   0.81934124  0.6019429
 -0.38644573 -0.89182585 -0.6966731  -0.82495946]"
69,"[-0.749036   -1.3623909   1.3109103   1.5929052  -0.6434221  -0.5727437
 -0.239954    1.1724796  -0.14649326 -0.3622554 ]"
70,"[ 0.87723875  1.9420087  -0.80544347 -0.7397672   0.80962723  0.74963635
 -0.6436063  -0.85508823 -0.7366485  -0.59795755]"
71,"[ 1.1239989   1.8507882  -0.90647084 -0.7732847   0.73418546  0.66206855
 -0.46488607 -0.8938679  -0.7412644  -0.59126693]"
72,"[ 1.0761503   1.857693   -0.8597488  -0.75004697  0.8110763   0.65663904
 -0.53965    -0.85647136 -0.72471905 -0.6709226 ]"
73,"[ 0.8933671   1.9494864  -0.8114453  -0.7050596   0.8146476   0.717859
 -0.60299367 -0.82002234 -0.7149739  -0.7208659 ]"
74,"[ 1.1929322   1.7529994  -0.9521493  -0.81354403  0.7035228   0.7129698
 -0.38288644 -0.9576863  -0.827405   -0.42875364]"
75,"[ 1.0749234   1.9079247  -0.8351529  -0.6672502   0.76372445  0.62101924
 -0.55813247 -0.83741343 -0.7314295  -0.7382127 ]"
76,"[ 1.2623578   1.7635368  -0.93510765 -0.71621644  0.7402693   0.5783391
 -0.29493412 -0.9198406  -0.7564061  -0.721998  ]"
77,"[ 1.2818447   1.7775242  -0.9748002  -0.66100144  0.6561572   0.6046364
 -0.32528487 -0.92367524 -0.82911015 -0.6062896 ]"
78,"[-1.0055156  -0.8620483   1.4459376   1.0698056  -1.0282556  -1.0308774
 -0.08170163  1.369778    0.05607691  0.06680027]"
79,"[ 1.1812698   1.7857543  -0.9085304  -0.76892287  0.7569165   0.66886044
 -0.4302317  -0.9143432  -0.7804781  -0.5902941 ]"
80,"[ 1.0912527   1.8434364  -0.8957711  -0.6641831   0.7967132   0.66068107
 -0.45843342 -0.85499644 -0.73010373 -0.7885953 ]"
81,"[ 1.1288476   1.850841   -0.8794511  -0.70946944  0.74807304  0.65174836
 -0.46468276 -0.8819596  -0.7583499  -0.68559617]"
82,"[ 1.2344611  1.7400992 -0.8846402 -0.6535339  0.8033937  0.6506024
 -0.4867916 -0.8683205 -0.756087  -0.7791832]"
83,"[ 0.79129934  2.00217    -0.8244759  -0.6807277   0.8059649   0.7418005
 -0.6804404  -0.8004685  -0.6883611  -0.66676164]"
84,"[ 0.8960328   1.9740295  -0.80150753 -0.680045    0.84247285  0.64141953
 -0.6522052  -0.8000087  -0.6955234  -0.7246656 ]"
85,"[ 0.9316      1.9042507  -0.81499076 -0.70467573  0.801519    0.7565793
 -0.51212144 -0.86062473 -0.7570106  -0.74452555]"
86,"[ 1.2693566   1.6780078  -0.9564018  -0.83968556  0.7848817   0.6641427
 -0.35286888 -0.97709423 -0.7059236  -0.56441474]"
87,"[-0.9843965  -1.1240629   1.2197493   1.9510124  -0.40470645 -0.27276832
 -0.29750487  0.8309374  -0.32788295 -0.59037685]"
88,"[ 1.1229806   1.5686573  -0.88215786 -0.7913342   1.0327941   0.8265227
 -0.75244206 -0.86730117 -0.7146048  -0.5431146 ]"
89,"[ 1.2350141   1.3305975  -0.88883597 -0.6267156   1.1607653   0.83117527
 -0.4470174  -0.9162767  -0.70743024 -0.97127503]"
90,"[-1.0017972  -0.90426356  1.4857541   1.1128383  -0.99741703 -0.9732396
 -0.10293183  1.3338137   0.02751156  0.01973141]"
91,"[-0.71988374 -1.4265983   1.5733687   1.2872217  -0.7384978  -0.73328966
 -0.19988991  1.085858   -0.02060656 -0.10768227]"
92,"[ 1.1450052   1.8963488  -0.9217572  -0.71887517  0.7396181   0.5348023
 -0.41381955 -0.8617175  -0.7070625  -0.69254297]"
93,"[ 1.0931348   1.8907003  -0.848017   -0.7213872   0.76836514  0.6091538
 -0.46642646 -0.8529816  -0.73576516 -0.73677737]"
94,"[ 1.153032    1.6602829  -0.93158066 -0.8568935   0.9157517   0.75708455
 -0.5751749  -0.91455245 -0.6445128  -0.5634377 ]"
95,"[-1.0027639  -0.96041894  1.4608394   1.2018465  -0.97193664 -0.91989034
 -0.11889388  1.2994215   0.00335253  0.0084438 ]"
96,"[ 1.1160319   1.8917252  -0.88493395 -0.71946514  0.7226457   0.617261
 -0.46821502 -0.8677055  -0.77235854 -0.63498586]"
97,"[ 1.0798569   1.837461   -0.9081743  -0.6316487   0.7512085   0.72719425
 -0.4687977  -0.89400166 -0.8060408  -0.6870578 ]"
98,"[ 1.2291391   1.7547079  -0.9253927  -0.7907881   0.7124573   0.6841623
 -0.3875503  -0.94681334 -0.76948136 -0.56044066]"
99,"[-0.6961656  -1.0103365   0.49333987  1.6281992   1.0628846   1.2481393
 -0.62879527 -0.5412122  -0.6954578  -0.86059594]"
100,"[ 1.1335123   1.8440195  -0.8969064  -0.7715661   0.7313729   0.6410012
 -0.37863427 -0.93142176 -0.780423   -0.5909546 ]"
101,"[ 1.0879183   1.8695651  -0.8611265  -0.76431227  0.79974836  0.6211273
 -0.505056   -0.88402605 -0.72338676 -0.64045227]"
102,"[-0.94946074 -1.0414418   1.4108621   1.2796144  -0.9187202  -0.8776353
 -0.14043255  1.3218848  -0.01994472 -0.06472579]"
103,"[ 1.0960252   1.8445575  -0.8754163  -0.7230904   0.8037129   0.6494014
 -0.45838994 -0.84740967 -0.7124483  -0.77694196]"
104,"[ 1.1906456   1.8322225  -0.9048593  -0.6432798   0.74519217  0.5667745
 -0.34005344 -0.8701561  -0.7690282  -0.80745745]"
105,"[ 0.82275355  1.622099   -0.91270655 -0.7613295   0.9158774   1.1781738
 -0.70983976 -0.732774   -0.70577425 -0.71647996]"
106,"[ 1.2835816   1.7962295  -0.99825686 -0.7016929   0.66456133  0.5275672
 -0.23539588 -0.93057466 -0.76339686 -0.6426226 ]"
107,"[ 1.1212785   1.8478347  -0.8768261  -0.6834543   0.77518576  0.644034
 -0.48786706 -0.8681835  -0.76305103 -0.7089509 ]"
108,"[ 1.1011984   1.8761129  -0.8872965  -0.7448832   0.8055702   0.5736322
 -0.4737783  -0.87291807 -0.766356   -0.61128235]"
109,"[ 1.4758093   1.5669309  -0.9920947  -0.73955894  0.7218827   0.57126933
 -0.20845017 -0.93883485 -0.6981935  -0.7587594 ]"
110,"[ 1.4255167   1.1974392  -0.93956417 -0.7129482   0.9769838   0.9304688
 -0.30321893 -0.92984676 -0.740549   -0.9042825 ]"
111,"[ 0.90758854  1.8607328  -0.94704795 -0.829439    0.8213605   0.7843865
 -0.65947604 -0.90808797 -0.6718408  -0.35817638]"
112,"[ 1.2501359   1.6999947  -0.91441905 -0.6897063   0.79092246  0.705357
 -0.4809359  -0.89548624 -0.7812184  -0.68464446]"
113,"[ 1.1854879   1.8136013  -0.9230962  -0.7776364   0.76552784  0.6086801
 -0.43643564 -0.89531916 -0.6945039  -0.6463065 ]"
114,"[ 1.1343485   1.9271901  -0.928808   -0.70663273  0.7084761   0.5145151
 -0.3851521  -0.8501338  -0.7104012  -0.703402  ]"
115,"[ 0.91944313  1.990107   -0.8170092  -0.6866897   0.75475335  0.6777902
 -0.66214174 -0.8017115  -0.69573784 -0.6788038 ]"
116,"[ 1.113844    1.809606   -0.8717728  -0.77752566  0.78555965  0.7001088
 -0.5548293  -0.9042001  -0.7943496  -0.50644094]"
117,"[ 1.0385387   1.9095165  -0.8175352  -0.7349375   0.72933155  0.7010986
 -0.5634034  -0.85385454 -0.75148237 -0.6572724 ]"
118,"[ 1.0660932   1.9253598  -0.8802473  -0.72598743  0.6965018   0.6427464
 -0.4465123  -0.87814236 -0.75495225 -0.6448602 ]"
119,"[ 1.1562697   1.9083524  -0.9133444  -0.5842787   0.76712465  0.4652675
 -0.45999053 -0.81741345 -0.7241143  -0.79787266]"
120,"[-1.0014184  -1.023891    1.4398494   1.2928303  -0.9277356  -0.83093494
 -0.14867575  1.2759639  -0.03568608 -0.04030226]"
121,"[ 0.98736465  1.9344867  -0.845337   -0.7418598   0.7487314   0.6814666
 -0.7194093  -0.85799724 -0.7244952  -0.4629517 ]"
122,"[ 1.1226051   1.8263829  -0.90294015 -0.7008423   0.7397313   0.7162909
 -0.5171291  -0.8731903  -0.78328264 -0.62762463]"
123,"[ 1.0923479   1.8587492  -0.88327414 -0.755283    0.76261747  0.66407
 -0.47551572 -0.9006727  -0.7601408  -0.6028984 ]"
124,"[ 1.0663887   1.8906481  -0.85741276 -0.75559527  0.7658823   0.6535254
 -0.56044734 -0.8585008  -0.7545964  -0.5898914 ]"
125,"[ 1.1120806   1.6383034  -0.8874092  -0.72301036  1.045852    0.73183495
 -0.71792066 -0.8177642  -0.67445076 -0.70751554]"
126,"[ 1.0227927   1.8843199  -0.88523394 -0.7486493   0.8229908   0.6460111
 -0.5055288  -0.871388   -0.77634895 -0.58896595]"
127,"[ 1.2578286   1.7380651  -0.89443    -0.7062249   0.77037036  0.6232015
 -0.3595003  -0.9233052  -0.7352753  -0.7707295 ]"
