,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,label
14,-0.84545773,1.7345498,-0.9840291,0.00709534,0.9064093,-0.39725724,-0.9029106,-0.7214299,1.3982062,-0.19517624,0.8536202,2.282544,-0.7133262,0.6551463,-0.7386426,-0.25875524,-0.4206258,-0.045897335,-0.92763954,-0.68642443,APN
15,-0.8466117,1.7341845,-0.9873037,0.0057241297,0.9071723,-0.39293745,-0.9036551,-0.71849996,1.3973744,-0.19544694,0.8499384,2.2810004,-0.7147104,0.6598319,-0.7397869,-0.26836774,-0.42094967,-0.033882298,-0.9285969,-0.6844768,APN
16,-0.84532285,1.7343899,-0.9861186,0.0035498075,0.90755206,-0.39483646,-0.90232134,-0.7197203,1.3982052,-0.19537725,0.8616587,2.2857432,-0.7259568,0.636098,-0.7037241,-0.23271735,-0.4384902,-0.0514607,-0.9310178,-0.70013374,APN
17,-0.845959,1.7355638,-0.9838229,0.0015580374,0.9084412,-0.3985675,-0.90206057,-0.719294,1.3970754,-0.19293366,0.85090667,2.274771,-0.7101711,0.6695609,-0.751932,-0.27306122,-0.40811658,-0.031772062,-0.92985564,-0.6903306,APN
18,-0.8450368,1.736129,-0.98319364,0.0007783868,0.9078501,-0.39760527,-0.9018617,-0.7206744,1.3973408,-0.19372486,0.86014456,2.2883775,-0.73152965,0.6331865,-0.7110045,-0.2430664,-0.424438,-0.051924586,-0.92857623,-0.69116795,APN
19,-0.8475211,1.7355099,-0.9822483,0.0032442594,0.9067185,-0.39835814,-0.9026142,-0.71923244,1.3980658,-0.19356395,0.7917438,2.2625203,-0.69074225,0.7371323,-0.83834434,-0.34916067,-0.3679514,0.031879663,-0.90880764,-0.6682701,APN
20,-0.8448383,1.7347658,-0.9858171,-0.0017573542,0.9084544,-0.39161763,-0.9046872,-0.7167165,1.39846,-0.19624497,0.8468018,2.2788405,-0.7144531,0.6676727,-0.742475,-0.26771787,-0.41917396,-0.03259318,-0.92396253,-0.69293934,APN
21,-0.8456797,1.7354145,-0.9816573,0.0040589296,0.9066604,-0.39796963,-0.90354013,-0.7202453,1.39847,-0.19551237,-0.99887633,-0.17472166,0.5310677,1.4110137,-1.4393247,-1.3114349,0.5972819,1.2320136,-0.025746278,0.17872745,APN
22,-0.8461136,1.7348921,-0.9853776,0.0032527046,0.9086228,-0.39416748,-0.90397793,-0.7195849,1.396328,-0.19387533,0.85752577,2.2861624,-0.7236206,0.64233136,-0.7178829,-0.24734266,-0.42743668,-0.04996886,-0.9289193,-0.6908479,APN
23,-0.8458594,1.7338443,-0.98755556,0.0030861006,0.9079394,-0.39540035,-0.90191007,-0.71918166,1.3980104,-0.19297367,0.81306946,2.2735693,-0.6970347,0.70418084,-0.79518414,-0.3063069,-0.39666072,0.0009333157,-0.9209189,-0.67564714,APN
