,embeddings
37,"[-0.08248398 -0.23344533  0.7906597  -0.99658126 -1.3179927   0.34589607
  0.19374646  0.69673634 -1.2407607   1.8442258   1.2905233   1.7828388
 -0.938669   -0.7693111   0.6824742   0.5717328  -0.34686556 -0.9202685
 -0.74206465 -0.61039066]"
38,"[-0.1735947  -0.23445955  1.0992602  -0.94092375 -1.2422477  -0.3370489
  0.14488329  1.2877805  -1.1069076   1.5032587   1.1772316   1.7955347
 -0.85401946 -0.71217567  0.80707425  0.63028055 -0.47146437 -0.8566744
 -0.7534315  -0.7623558 ]"
39,"[-0.3556413   0.34474292 -1.0803274  -0.39249367  2.0603664  -0.22094087
 -0.18534617 -1.0282289   1.3454524  -0.48758352  0.9890035   1.9080865
 -0.8505854  -0.7569148   0.7971631   0.68646294 -0.5912209  -0.8636434
 -0.7413817  -0.5769689 ]"
40,"[-0.16961998 -0.23612927  1.1361372  -0.92315006 -1.3510289   0.1571094
  0.06326196  1.129255   -1.2491021   1.4432672  -0.9995778  -0.9320006
  1.4697512   1.1401418  -0.9920984  -0.9581113  -0.10513718  1.325709
  0.02292882  0.02839446]"
41,"[-0.1481927  -0.2428562   0.9948572  -0.9245554  -1.344667    0.18723336
  0.11412276  0.9849341  -1.2554888   1.634613    1.1115866   1.8958198
 -0.8824027  -0.7596891   0.7654699   0.57996625 -0.5517702  -0.8632278
 -0.68709797 -0.6086544 ]"
42,"[-0.34430784  0.3002378  -0.99262816 -0.31163624  2.23986    -0.23481621
 -0.1384067  -0.96435195  1.1141362  -0.6680869   1.0893594   1.756002
 -0.94768006 -0.75318235  0.94561493  0.650587   -0.72047913 -0.85114765
 -0.68456465 -0.48450935]"
43,"[-0.48693258 -0.2591944   1.0747974  -0.8761891  -1.0317477  -0.9375458
  0.05130472  1.8420004  -0.47543874  1.0989466   1.3410834   1.7354608
 -0.91621196 -0.6396217   0.72524077  0.54701984 -0.35830876 -0.8763736
 -0.7273775  -0.83091074]"
44,"[-0.08354557 -0.23127078  0.7889739  -1.0650434  -1.274466    0.09769313
  0.25790167  0.86121035 -1.1807896   1.8293353   1.1401601   1.8438196
 -0.8685465  -0.6681049   0.75206035  0.64082855 -0.43408427 -0.86028767
 -0.7692198  -0.77662575]"
45,"[-0.3468238   0.36114958 -1.080245   -0.3852966   1.916965   -0.2390539
 -0.18883622 -1.025794    1.5250057  -0.5370709   1.197794    1.7659403
 -0.94261056 -0.63118696  0.6919498   0.7293079  -0.34996703 -0.8904822
 -0.77860045 -0.79214543]"
46,"[-1.6222775e-01 -2.4064761e-01  1.0596509e+00 -9.3204886e-01
 -1.3144950e+00  6.4081739e-04  1.2057254e-01  1.1062975e+00
 -1.2139074e+00  1.5761651e+00  1.4065944e+00  1.3726385e+00
 -9.7613293e-01 -7.5756729e-01  9.1840255e-01  7.8407490e-01
 -2.6153058e-01 -9.4238591e-01 -7.2861165e-01 -8.1548142e-01]"
47,"[-0.27221316 -0.20650117  1.062557   -0.9995105  -1.1486069  -0.80151385
  0.15724719  1.2268237  -0.6885006   1.6702185   1.1385789   1.8206725
 -0.88676065 -0.7781003   0.7467083   0.68635267 -0.46778575 -0.91209155
 -0.7432115  -0.6043624 ]"
48,"[-0.37140036 -0.25351575  1.0118843  -0.90952146 -1.0546404  -0.9358537
  0.1538494   1.6685348  -0.63251764  1.3231806   1.1801212   1.7944008
 -0.88734484 -0.7217665   0.7504956   0.66419023 -0.40010118 -0.9179212
 -0.77122575 -0.69084764]"
49,"[-0.02064976 -0.18358585  0.29019797 -0.8623466  -1.4191333   1.0179468
  0.03768376  0.03567094 -0.9438073   2.0480218   1.0916073   1.837444
 -0.89040774 -0.7669626   0.8042703   0.66952866 -0.5598037  -0.8675006
 -0.7622521  -0.5559231 ]"
50,"[-0.10258784 -0.20892201  0.97150546 -1.1056739  -1.810099    0.52825534
 -0.23426677  1.2577789  -0.46630913  1.1703182   1.2699261   1.3441168
 -0.8841564  -0.79992795  1.0286127   0.9657975  -0.75634336 -0.8600613
 -0.6770464  -0.6309185 ]"
51,"[-0.12333022 -0.24275991  0.91490144 -0.9844243  -1.29849     0.11106512
  0.18281311  0.89363986 -1.2166609   1.7632451   0.88761985  1.8093629
 -0.90943927 -0.8228877   0.88956064  0.80022836 -0.7720226  -0.8906614
 -0.7421918  -0.249569  ]"
52,"[-0.17991067 -0.23476629  1.0428414  -0.9951679  -1.2400048  -0.33381426
  0.1717329   1.3191861  -1.062418    1.5123229   0.9771903   1.9340599
 -0.83874905 -0.7480151   0.7420321   0.71237457 -0.563626   -0.85404855
 -0.75084037 -0.6103777 ]"
53,"[-0.22855675 -0.2118593   1.0358535  -0.9444158  -1.2302179  -0.26489976
  0.12238313  1.1066158  -1.0934523   1.7085494   1.2175417   1.7928392
 -0.9049687  -0.66732913  0.78332     0.5994529  -0.47258928 -0.8350158
 -0.74029285 -0.7729573 ]"
54,"[-0.196238   -0.23236601  1.1107502  -0.9233814  -1.2895501  -0.15058362
  0.1003405   1.2259071  -1.1565139   1.5116353   1.2517964   1.7391946
 -0.91662014 -0.63185847  0.79010487  0.602006   -0.36154363 -0.8882031
 -0.73518443 -0.84969246]"
55,"[-0.49776238 -0.29708084  1.0507954  -0.8736824  -1.0126015  -0.987119
  0.0637104   1.8010232  -0.41915545  1.1718719   1.2496608   1.7343714
 -0.92832714 -0.7209645   0.7828224   0.62942255 -0.36451516 -0.8851408
 -0.7140612  -0.7832681 ]"
56,"[-0.02772746  0.08938858 -0.5251125  -0.5604701  -0.35876122 -0.61855406
  0.16272698 -0.43951562  2.7320757  -0.45404994 -0.9752349  -0.98197055
  1.4700892   1.2192562  -0.9420937  -0.90395796 -0.13289452  1.3081859
 -0.00493874 -0.05644113]"
57,"[-0.17934988 -0.22819719  1.0451406  -0.9546408  -1.2495896  -0.24291112
  0.14389563  1.1528114  -1.1238766   1.6367173   1.1685666   1.7783464
 -0.9005634  -0.7229494   0.79757285  0.67372876 -0.4570813  -0.8872804
 -0.7129627  -0.73737824]"
